== ablate g=0.0 l=0.0 s=0: train=86400 test=9600
shared directions: 4999 pair means; top-8 var share [0.2, 0.042, 0.03, 0.023, 0.021, 0.019, 0.018, 0.018]
cue means: 2000 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9003 0.983 0.940 0.859 0.756 0.617  1.524  -0.248   0.0  nan
  shared    1 0.8967 0.991 0.945 0.840 0.728 0.586  1.659  +nan   9.7  nan
  shared    2 0.8905 0.987 0.961 0.872 0.691 0.483  2.028  +nan  14.1  nan
  shared    4 0.8852 0.987 0.958 0.857 0.681 0.466  2.052  +nan  19.6  nan
  shared    8 0.8708 0.987 0.954 0.826 0.631 0.423  2.179  +nan  27.7  nan
  shared   16 0.8502 0.990 0.939 0.787 0.563 0.353  2.423  -0.253  40.5  nan
  shared   32 0.7903 0.985 0.890 0.663 0.404 0.215  2.902  +nan  58.8  nan
 generic    1 0.8891 0.982 0.953 0.860 0.706 0.514  1.882  +nan   4.0  0.134
 generic    2 0.8903 0.984 0.953 0.854 0.707 0.531  1.814  +nan   7.4  0.184
 generic    4 0.8872 0.980 0.955 0.852 0.701 0.515  1.805  +nan  12.3  0.957
 generic    8 0.8765 0.983 0.953 0.834 0.658 0.464  2.002  +nan  20.2  0.966
 generic   16 0.8541 0.981 0.945 0.794 0.596 0.380  2.301  +nan  34.1  0.987
 generic   32 0.7980 0.968 0.888 0.704 0.451 0.269  2.673  +nan  52.9  0.995
  random    1 0.9004 0.983 0.940 0.859 0.755 0.618  1.524  +nan   0.0  0.013
  random    2 0.9002 0.983 0.940 0.858 0.756 0.617  1.524  +nan   0.0  0.005
  random    4 0.8999 0.984 0.939 0.858 0.754 0.617  1.525  +nan   0.1  0.017
  random    8 0.9001 0.983 0.939 0.858 0.755 0.618  1.525  +nan   0.2  0.035
  random   16 0.9004 0.984 0.939 0.857 0.757 0.617  1.525  +nan   0.4  0.048
  random   32 0.9005 0.984 0.941 0.857 0.757 0.615  1.526  +nan   0.7  0.063
    rank    1 0.8976 0.991 0.945 0.844 0.730 0.588  1.642  +nan   9.8  1.000
    rank    2 0.8911 0.986 0.963 0.877 0.686 0.485  2.037  +nan  14.0  0.972
    rank    4 0.8831 0.989 0.959 0.857 0.665 0.452  2.133  +nan  17.3  0.564
     cue    1 0.8834 0.982 0.953 0.862 0.689 0.463  2.103  +nan   3.8  0.155
     cue    2 0.8811 0.984 0.953 0.849 0.679 0.467  2.089  +nan   6.9  0.129
     cue    4 0.8743 0.982 0.953 0.838 0.660 0.434  2.211  +nan  11.5  0.988
     cue    8 0.8622 0.982 0.947 0.817 0.617 0.397  2.278  +nan  19.5  0.992
     cue   16 0.8394 0.980 0.931 0.781 0.543 0.333  2.550  +nan  32.9  0.994
     cue   32 0.7809 0.970 0.874 0.662 0.405 0.225  2.947  +nan  51.6  0.996
    rare    1 0.8986 0.983 0.942 0.855 0.754 0.600  1.533  +nan   3.1  0.066
    rare    2 0.8973 0.983 0.942 0.856 0.752 0.588  1.551  +nan   5.4  0.030
    rare    4 0.8907 0.984 0.941 0.842 0.726 0.563  1.594  +nan   9.6  0.289
    rare    8 0.8876 0.983 0.942 0.839 0.704 0.560  1.691  +nan  17.7  0.932
    rare   16 0.8634 0.983 0.940 0.814 0.610 0.440  2.074  +nan  30.7  0.962
    rare   32 0.8189 0.978 0.916 0.741 0.467 0.306  2.530  +nan  49.2  0.983
 randvar  395 0.8975 0.981 0.942 0.854 0.745 0.609  1.567  +nan   9.6  0.309
 randvar  571 0.8977 0.982 0.942 0.851 0.748 0.613  1.591  +nan  13.8  0.365
 randvar  797 0.8946 0.981 0.942 0.843 0.738 0.607  1.647  +nan  19.3  0.429
 randvar 1125 0.8919 0.979 0.941 0.835 0.731 0.606  1.816  +nan  27.4  0.522
 randvar 1656 0.8831 0.974 0.934 0.824 0.719 0.582  2.323  +nan  40.4  0.632
 randvar 2404 0.8599 0.963 0.912 0.789 0.665 0.549  3.868  +nan  58.5  0.761
